unconvertedTime, unconvertedIntensity, convertedMZ, convertedIntensity
0.0,0.0,0.0,-0.0
0.003200000047683716,0.0,3.7703837489012006e-06,-0.0
0.006400000095367432,0.0,1.5081534995604802e-05,-0.0
0.009600000143051148,0.0,3.393345374011081e-05,-0.0
0.012800000190734864,0.0,6.032613998241921e-05,-0.0
0.01600000023841858,0.0,9.425959372253001e-05,-0.0
0.019200000286102296,0.0,0.00013573381496044323,-0.0
0.022400000333786012,-15.748031496062993,0.00018474880369615882,0.023255813953488375
0.02560000038146973,0.0,0.00024130455992967684,-0.0
0.028800000429153445,0.0,0.0003054010836609973,-0.0
0.03200000047683716,0.0,0.00037703837489012004,-0.0
0.03520000052452087,0.0,0.0004562164336170452,-0.0
0.03840000057220459,0.0,0.0005429352598417729,-0.0
0.041600000619888305,-15.748031496062993,0.0006371948535643028,0.023255813953488375
0.044800000667572025,0.0,0.0007389952147846353,-0.0
0.04800000071525574,0.0,0.0008483363435027701,-0.0
0.05120000076293946,0.0,0.0009652182397187073,-0.0
0.05440000081062317,0.0,0.001089640903432447,-0.0
0.05760000085830689,0.0,0.0012216043346439892,-0.0
0.0608000009059906,0.0,0.0013611085333533335,-0.0
0.06400000095367432,0.0,0.0015081534995604801,-0.0
0.06720000100135803,0.0,0.0016627392332654294,-0.0
0.07040000104904175,-15.748031496062993,0.0018248657344681809,0.023255813953488375
0.07360000109672546,-15.748031496062993,0.0019945330031687345,0.023255813953488375
0.07680000114440919,0.0,0.0021717410393670917,-0.0
0.0800000011920929,-15.748031496062993,0.00235648984306325,0.023255813953488375
0.08320000123977661,0.0,0.002548779414257211,-0.0
0.08640000128746032,0.0,0.002748609752948975,-0.0
0.08960000133514405,0.0,0.002955980859138541,-0.0
0.09280000138282776,0.0,0.0031708927328259096,-0.0
0.09600000143051148,0.0,0.0033933453740110802,-0.0
0.09920000147819519,0.0,0.003623338782694053,-0.0
0.10240000152587891,0.0,0.0038608729588748294,-0.0
0.10560000157356263,0.0,0.004105947902553407,-0.0
0.10880000162124634,0.0,0.004358563613729788,-0.0
0.11200000166893005,0.0,0.00461872009240397,-0.0
0.11520000171661378,-15.748031496062993,0.004886417338575957,0.023255813953488375
0.11840000176429749,0.0,0.005161655352245744,-0.0
0.1216000018119812,0.0,0.005444434133413334,-0.0
0.12480000185966492,-15.748031496062993,0.005734753682078726,0.023255813953488375
0.12800000190734864,-15.748031496062993,0.006032613998241921,0.023255813953488375
0.13120000195503234,0.0,0.006338015081902918,-0.0
0.13440000200271607,0.0,0.006650956933061718,-0.0
0.1376000020503998,0.0,0.0069714395517183215,-0.0
0.1408000020980835,0.0,0.0072994629378727235,-0.0
0.14400000214576722,0.0,0.007635027091524932,-0.0
0.14720000219345092,0.0,0.007978132012674938,-0.0
0.15040000224113464,0.0,0.008328777701322752,-0.0
0.15360000228881837,15.748031496062993,0.008686964157468367,-0.023255813953488375
0.15680000233650207,0.0,0.009052691381111783,-0.0
0.1600000023841858,0.0,0.009425959372253,-0.0
0.16320000243186952,0.0,0.009806768130892025,-0.0
0.16640000247955322,0.0,0.010195117657028845,-0.0
0.16960000252723695,15.748031496062993,0.010591007950663473,-0.023255813953488375
0.17280000257492065,0.0,0.0109944390117959,-0.0
0.17600000262260437,0.0,0.011405410840426133,-0.0
0.1792000026702881,0.0,0.011823923436554164,-0.0
0.1824000027179718,0.0,0.01224997680018,-0.0
0.18560000276565553,0.0,0.012683570931303638,-0.0
0.18880000281333922,0.0,0.013124705829925079,-0.0
0.19200000286102295,0.0,0.013573381496044321,-0.0
0.19520000290870668,0.0,0.014029597929661368,-0.0
0.19840000295639038,0.0,0.014493355130776212,-0.0
0.2016000030040741,0.0,0.014964653099388865,-0.0
0.20480000305175783,0.0,0.015443491835499317,-0.0
0.20800000309944153,0.0,0.01592987133910757,-0.0
0.21120000314712525,-15.748031496062993,0.01642379161021363,0.023255813953488375
0.21440000319480895,0.0,0.016925252648817484,-0.0
0.21760000324249268,0.0,0.01743425445491915,-0.0
0.2208000032901764,0.0,0.01795079702851862,-0.0
0.2240000033378601,0.0,0.01847488036961588,-0.0
0.22720000338554383,0.0,0.019006504478210954,-0.0
0.23040000343322756,0.0,0.019545669354303827,-0.0
0.23360000348091126,0.0,0.020092374997894496,-0.0
0.23680000352859498,0.0,0.020646621408982976,-0.0
0.24000000357627868,0.0,0.02120840858756925,-0.0
0.2432000036239624,0.0,0.021777736533653336,-0.0
0.24640000367164613,-15.748031496062993,0.022354605247235215,0.023255813953488375
0.24960000371932983,0.0,0.022939014728314906,-0.0
0.25280000376701356,0.0,0.023530964976892388,-0.0
0.2560000038146973,0.0,0.024130455992967682,-0.0
0.259200003862381,0.0,0.024737487776540782,-0.0
0.2624000039100647,0.0,0.025352060327611673,-0.0
0.2656000039577484,0.0,0.025974173646180366,-0.0
0.26880000400543214,0.0,0.02660382773224687,-0.0
0.27200000405311586,0.0,0.027241022585811177,-0.0
0.2752000041007996,0.0,0.027885758206873286,-0.0
0.27840000414848326,0.0,0.02853803459543318,-0.0
0.281600004196167,0.0,0.029197851751490894,-0.0
0.2848000042438507,0.0,0.029865209675046408,-0.0
0.28800000429153444,0.0,0.030540108366099727,-0.0
0.29120000433921817,0.0,0.03122254782465084,-0.0
0.29440000438690184,15.748031496062993,0.03191252805069975,-0.023255813953488375
0.29760000443458556,0.0,0.032610049044246484,-0.0
0.3008000044822693,0.0,0.03331511080529101,-0.0
0.304000004529953,0.0,0.03402771333383333,-0.0
0.30720000457763674,-15.748031496062993,0.034747856629873466,0.023255813953488375
