unconvertedTime, unconvertedIntensity, convertedMZ, convertedIntensity
0.0,0.0,0.0,-0.0
0.003200000047683716,0.0,6.003625805960808e-06,-0.0
0.006400000095367432,0.0,2.4014503223843232e-05,-0.0
0.009600000143051148,0.0,5.403263225364728e-05,-0.0
0.012800000190734864,0.0,9.605801289537293e-05,-0.0
0.01600000023841858,0.0,0.00015009064514902022,-0.0
0.019200000286102296,0.0,0.0002161305290145891,-0.0
0.022400000333786012,-15.748031496062993,0.00029417766449207965,0.013333333333333334
0.02560000038146973,0.0,0.0003842320515814917,-0.0
0.028800000429153445,0.0,0.0004862936902828256,-0.0
0.03200000047683716,0.0,0.0006003625805960809,-0.0
0.03520000052452087,0.0,0.0007264387225212577,-0.0
0.03840000057220459,-15.748031496062993,0.0008645221160583564,0.013333333333333334
0.041600000619888305,0.0,0.0010146127612073765,-0.0
0.044800000667572025,0.0,0.0011767106579683186,-0.0
0.04800000071525574,0.0,0.0013508158063411818,-0.0
0.05120000076293946,0.0,0.0015369282063259669,-0.0
0.05440000081062317,0.0,0.0017350478579226739,-0.0
0.05760000085830689,0.0,0.0019451747611313023,-0.0
0.0608000009059906,0.0,0.002167308915951852,-0.0
0.06400000095367432,0.0,0.0024014503223843235,-0.0
0.06720000100135803,0.0,0.002647598980428716,-0.0
0.07040000104904175,0.0,0.002905754890085031,-0.0
0.07360000109672546,0.0,0.0031759180513532674,-0.0
0.07680000114440919,0.0,0.003458088464233426,-0.0
0.0800000011920929,0.0,0.0037522661287255057,-0.0
0.08320000123977661,-15.748031496062993,0.004058451044829506,0.013333333333333334
0.08640000128746032,15.748031496062993,0.004376643212545429,-0.013333333333333334
0.08960000133514405,0.0,0.004706842631873274,-0.0
0.09280000138282776,0.0,0.005049049302813039,-0.0
0.09600000143051148,0.0,0.005403263225364727,-0.0
0.09920000147819519,0.0,0.005769484399528335,-0.0
0.10240000152587891,0.0,0.006147712825303867,-0.0
0.10560000157356263,0.0,0.00653794850269132,-0.0
0.10880000162124634,0.0,0.006940191431690695,-0.0
0.11200000166893005,0.0,0.00735444161230199,-0.0
0.11520000171661378,0.0,0.007780699044525209,-0.0
0.11840000176429749,0.0,0.008218963728360347,-0.0
0.1216000018119812,0.0,0.008669235663807407,-0.0
0.12480000185966492,0.0,0.00913151485086639,-0.0
0.12800000190734864,0.0,0.009605801289537294,-0.0
0.13120000195503234,0.0,0.010092094979820117,-0.0
0.13440000200271607,0.0,0.010590395921714865,-0.0
0.1376000020503998,-15.748031496062993,0.011100704115221537,0.013333333333333334
0.1408000020980835,0.0,0.011623019560340123,-0.0
0.14400000214576722,0.0,0.012157342257070637,-0.0
0.14720000219345092,0.0,0.01270367220541307,-0.0
0.15040000224113464,-15.748031496062993,0.013262009405367427,0.013333333333333334
0.15360000228881837,0.0,0.013832353856933703,-0.0
0.15680000233650207,-15.748031496062993,0.0144147055601119,0.013333333333333334
0.1600000023841858,0.0,0.015009064514902023,-0.0
0.16320000243186952,0.0,0.015615430721304066,-0.0
0.16640000247955322,0.0,0.016233804179318023,-0.0
0.16960000252723695,15.748031496062993,0.01686418488894391,-0.013333333333333334
0.17280000257492065,0.0,0.017506572850181715,-0.0
0.17600000262260437,0.0,0.018160968063031448,-0.0
0.1792000026702881,0.0,0.018827370527493097,-0.0
0.1824000027179718,0.0,0.019505780243566667,-0.0
0.18560000276565553,0.0,0.020196197211252157,-0.0
0.18880000281333922,0.0,0.02089862143054957,-0.0
0.19200000286102295,0.0,0.021613052901458908,-0.0
0.19520000290870668,0.0,0.022339491623980173,-0.0
0.19840000295639038,0.0,0.02307793759811334,-0.0
0.2016000030040741,0.0,0.023828390823858448,-0.0
0.20480000305175783,0.0,0.02459085130121547,-0.0
0.20800000309944153,0.0,0.025365319030184415,-0.0
0.21120000314712525,0.0,0.02615179401076528,-0.0
0.21440000319480895,0.0,0.026950276242958066,-0.0
0.21760000324249268,0.0,0.02776076572676278,-0.0
0.2208000032901764,-15.748031496062993,0.02858326246217941,0.013333333333333334
0.2240000033378601,-15.748031496062993,0.02941776644920796,0.013333333333333334
0.22720000338554383,0.0,0.030264277687848434,-0.0
0.23040000343322756,0.0,0.031122796178100837,-0.0
0.23360000348091126,0.0,0.031993321919965144,-0.0
0.23680000352859498,-15.748031496062993,0.03287585491344139,0.013333333333333334
0.24000000357627868,-15.748031496062993,0.03377039515852954,0.013333333333333334
0.2432000036239624,0.0,0.03467694265522963,-0.0
0.24640000367164613,0.0,0.035595497403541634,-0.0
0.24960000371932983,0.0,0.03652605940346556,-0.0
0.25280000376701356,-15.748031496062993,0.037468628655001404,0.013333333333333334
0.2560000038146973,0.0,0.038423205158149176,-0.0
0.259200003862381,0.0,0.03938978891290887,-0.0
0.2624000039100647,0.0,0.04036837991928047,-0.0
0.2656000039577484,15.748031496062993,0.04135897817726401,-0.013333333333333334
0.26880000400543214,0.0,0.04236158368685946,-0.0
0.27200000405311586,0.0,0.043376196448066846,-0.0
0.2752000041007996,0.0,0.044402816460886146,-0.0
0.27840000414848326,0.0,0.04544144372531735,-0.0
0.281600004196167,0.0,0.04649207824136049,-0.0
0.2848000042438507,0.0,0.04755472000901556,-0.0
0.28800000429153444,0.0,0.04862936902828255,-0.0
0.29120000433921817,0.0,0.04971602529916146,-0.0
0.29440000438690184,15.748031496062993,0.05081468882165228,-0.013333333333333334
0.29760000443458556,0.0,0.051925359595755026,-0.0
0.3008000044822693,0.0,0.05304803762146971,-0.0
0.304000004529953,-15.748031496062993,0.0541827228987963,0.013333333333333334
